i	j	phi_value
f1_1	f1_3	0.245402804338687
f1_3	f1_1	0.245402804338687
f1_2	f1_3	0.252996675028212
f1_3	f1_2	0.252996675028212
f1_1	f1_4	0.243117703896972
f1_4	f1_1	0.243117703896972
f1_2	f1_4	0.242667081797493
f1_4	f1_2	0.242667081797493
f1_3	f1_4	0.341167324755139
f1_4	f1_3	0.341167324755139
f2_1	f2_3	0.252146743518504
f2_3	f2_1	0.252146743518504
f2_2	f2_3	0.261933092564899
f2_3	f2_2	0.261933092564899
f2_1	f2_4	0.256499381329375
f2_4	f2_1	0.256499381329375
f2_2	f2_4	0.25403568602183
f2_4	f2_2	0.25403568602183
f2_3	f2_4	0.330509526585152
f2_4	f2_3	0.330509526585152
f3_1	f3_3	0.251504492151603
f3_3	f3_1	0.251504492151603
f3_2	f3_3	0.246800432594032
f3_3	f3_2	0.246800432594032
f3_1	f3_4	0.246613185979672
f3_4	f3_1	0.246613185979672
f3_2	f3_4	0.240897380240016
f3_4	f3_2	0.240897380240016
f3_3	f3_4	0.310412073475593
f3_4	f3_3	0.310412073475593
f4_1	f4_3	0.258635824513186
f4_3	f4_1	0.258635824513186
f4_2	f4_3	0.258854393500965
f4_3	f4_2	0.258854393500965
f4_1	f4_4	0.259166095183593
f4_4	f4_1	0.259166095183593
f4_2	f4_4	0.263994273078292
f4_4	f4_2	0.263994273078292
f4_3	f4_4	0.34033258586712
f4_4	f4_3	0.34033258586712
f5_1	f5_3	0.262054818659177
f5_3	f5_1	0.262054818659177
f5_2	f5_3	0.236795710206202
f5_3	f5_2	0.236795710206202
f5_1	f5_4	0.268578212767777
f5_4	f5_1	0.268578212767777
f5_2	f5_4	0.241743774448594
f5_4	f5_2	0.241743774448594
f5_3	f5_4	0.343044264661145
f5_4	f5_3	0.343044264661145
f6_1	f6_3	0.245247034805933
f6_3	f6_1	0.245247034805933
f6_2	f6_3	0.244554018924278
f6_3	f6_2	0.244554018924278
f6_1	f6_4	0.252550129849882
f6_4	f6_1	0.252550129849882
f6_2	f6_4	0.254115999747216
f6_4	f6_2	0.254115999747216
f6_3	f6_4	0.342108231549611
f6_4	f6_3	0.342108231549611
f7_1	f7_3	0.246610785180786
f7_3	f7_1	0.246610785180786
f7_2	f7_3	0.242728717159093
f7_3	f7_2	0.242728717159093
f7_1	f7_4	0.253846336233703
f7_4	f7_1	0.253846336233703
f7_2	f7_4	0.253042540003227
f7_4	f7_2	0.253042540003227
f7_3	f7_4	0.315184724880997
