i	j	phi_value
f1_1	f1_3	0.500738745911
f1_3	f1_1	0.494084062616456
f1_2	f1_3	0.491357417269954
f1_3	f1_2	0.505377146599986
f1_1	f1_4	0.498836247238794
f1_4	f1_1	0.492235319345404
f1_2	f1_4	0.487633095678722
f1_4	f1_2	0.50734032006614
f1_3	f1_4	0.347144122297048
f1_4	f1_3	0.346659346583275
f2_1	f2_3	0.514550509847052
f2_3	f2_1	0.498382991252336
f2_2	f2_3	0.488693444114515
f2_3	f2_2	0.502281785455964
f2_1	f2_4	0.509928633673439
f2_4	f2_1	0.509922975293765
f2_2	f2_4	0.494991791724234
f2_4	f2_2	0.511932413813709
f2_3	f2_4	0.319958953189002
f2_4	f2_3	0.346288737569846
f3_1	f3_3	0.493169381777992
f3_3	f3_1	0.490103221430288
f3_2	f3_3	0.496540888735515
f3_3	f3_2	0.488529009328805
f3_1	f3_4	0.501799831715767
f3_4	f3_1	0.490407589594332
f3_2	f3_4	0.503358658973429
f3_4	f3_2	0.50354731992852
f3_3	f3_4	0.325728684926368
f3_4	f3_3	0.313166655632049
f4_1	f4_3	0.483832198561079
f4_3	f4_1	0.492369057009398
f4_2	f4_3	0.504716498735419
f4_3	f4_2	0.479830269069895
f4_1	f4_4	0.479257008695421
f4_4	f4_1	0.497839126785539
f4_2	f4_4	0.496155903001181
f4_4	f4_2	0.490625388610916
f4_3	f4_4	0.319933848562853
f4_4	f4_3	0.324946090487223
f5_1	f5_3	0.514873809180377
f5_3	f5_1	0.486441260588047
f5_2	f5_3	0.510556900017007
f5_3	f5_2	0.493679935228917
f5_1	f5_4	0.516187729067479
f5_4	f5_1	0.48156049944635
f5_2	f5_4	0.493054142900652
f5_4	f5_2	0.492523761337471
f5_3	f5_4	0.327365918250845
f5_4	f5_3	0.32826357911189
f6_1	f6_3	0.500776247894627
f6_3	f6_1	0.495447464597807
f6_2	f6_3	0.504000558014843
f6_3	f6_2	0.497974319796852
f6_1	f6_4	0.49443301328017
f6_4	f6_1	0.495846638167168
f6_2	f6_4	0.499204937088284
f6_4	f6_2	0.49449005041329
f6_3	f6_4	0.322945595609363
f6_4	f6_3	0.33261121967374
f7_1	f7_3	0.504215593371615
f7_3	f7_1	0.500433955971873
f7_2	f7_3	0.496234819660844
f7_3	f7_2	0.496404276962691
f7_1	f7_4	0.503663194793807
f7_4	f7_1	0.49917065687902
f7_2	f7_4	0.492230411212826
f7_4	f7_2	0.499402049870202
f7_3	f7_4	0.305610733448241
f7_4	f7_3	0.323694987319171
f8_1	f8_3	0.513764071531009
f8_3	f8_1	0.505015517738582
f8_2	f8_3	0.505519827620949
f8_3	f8_2	0.508417367135002
f8_1	f8_4	0.520868821159071
f8_4	f8_1	0.502257933589579
f8_2	f8_4	0.505021447536727
f8_4	f8_2	0.495546723488001
f8_3	f8_4	0.31153572804415
f8_4	f8_3	0.313053835714617
f9_1	f9_3	0.507341605783966
f9_3	f9_1	0.485178997906627
f9_2	f9_3	0.50347187794778
f9_3	f9_2	0.485227816883359
f9_1	f9_4	0.505162272027186
f9_4	f9_1	0.470059480462789
f9_2	f9_4	0.519274659930304
f9_4	f9_2	0.496948056898382
f9_3	f9_4	0.325333922197553
f9_4	f9_3	0.32269450942267
f10_1	f10_3	0.502192077290409
f10_3	f10_1	0.503969417982973
f10_2	f10_3	0.519426928499126
f10_3	f10_2	0.510695252356741
f10_1	f10_4	0.502165498984547
f10_4	f10_1	0.491476570847742
f10_2	f10_4	0.522441706358065
f10_4	f10_2	0.493733504965061
f10_3	f10_4	0.348984407770863
f10_4	f10_3	0.316336988677813
f11_1	f11_3	0.50657348858699
f11_3	f11_1	0.486721906385778
f11_2	f11_3	0.500152084951031
f11_3	f11_2	0.501758309681765
f11_1	f11_4	0.506347013403821
f11_4	f11_1	0.491213687844029
f11_2	f11_4	0.492962657211115
f11_4	f11_2	0.489313229307659
f11_3	f11_4	0.359739954925046
f11_4	f11_3	0.349534062182246
f12_1	f12_3	0.504336269733201
f12_3	f12_1	0.503653519031805
f12_2	f12_3	0.509942305064726
f12_3	f12_2	0.508005959616341
f12_1	f12_4	0.501918650453069
f12_4	f12_1	0.513944462854771
f12_2	f12_4	0.494826076881666
f12_4	f12_2	0.515353140810001
