i	j	phi_value
f1_1	f1_3	0.498622793519049
f1_3	f1_1	0.502264151780817
f1_2	f1_3	0.505574072490448
f1_3	f1_2	0.493216175892905
f1_1	f1_4	0.499455659949545
f1_4	f1_1	0.502895111252554
f1_2	f1_4	0.495197318000622
f1_4	f1_2	0.487765245189661
f1_3	f1_4	0.340047228846716
f1_4	f1_3	0.329977553932011
f2_1	f2_3	0.480083071266518
f2_3	f2_1	0.506607768374671
f2_2	f2_3	0.489866794567443
f2_3	f2_2	0.495247750331274
f2_1	f2_4	0.486603164580158
f2_4	f2_1	0.489659557150437
f2_2	f2_4	0.498585541506547
f2_4	f2_2	0.497550672633397
f2_3	f2_4	0.344577606493791
f2_4	f2_3	0.337213664809907
f3_1	f3_3	0.489337541430087
f3_3	f3_1	0.496235046795872
f3_2	f3_3	0.489361981420681
f3_3	f3_2	0.501078676920138
f3_1	f3_4	0.487283369845331
f3_4	f3_1	0.50613884746394
f3_2	f3_4	0.502560833252307
f3_4	f3_2	0.507720591351593
f3_3	f3_4	0.33260538091862
f3_4	f3_3	0.351300391332523
f4_1	f4_3	0.500991228950293
f4_3	f4_1	0.496444759715376
f4_2	f4_3	0.512981682821551
f4_3	f4_2	0.504856299156374
f4_1	f4_4	0.496986978465996
f4_4	f4_1	0.489687952175063
f4_2	f4_4	0.496023197915725
f4_4	f4_2	0.502385364718677
f4_3	f4_4	0.323500050588046
f4_4	f4_3	0.330203229751221
f5_1	f5_3	0.476257824618371
f5_3	f5_1	0.497379935879453
f5_2	f5_3	0.507600481696725
f5_3	f5_2	0.497365393362069
f5_1	f5_4	0.475622650975471
f5_4	f5_1	0.493647455451515
f5_2	f5_4	0.512266710586022
f5_4	f5_2	0.498881924785797
f5_3	f5_4	0.330516342647422
f5_4	f5_3	0.29885713512332
f6_1	f6_3	0.507390387588963
f6_3	f6_1	0.490310687614898
f6_2	f6_3	0.488875548186412
f6_3	f6_2	0.49620552533133
f6_1	f6_4	0.491694378985327
f6_4	f6_1	0.488020331356323
f6_2	f6_4	0.486358448300718
f6_4	f6_2	0.473619348203507
f6_3	f6_4	0.331461798754346
f6_4	f6_3	0.347012249551881
f7_1	f7_3	0.507346939517379
f7_3	f7_1	0.488669053533508
f7_2	f7_3	0.510527163385137
f7_3	f7_2	0.492491683044855
f7_1	f7_4	0.494642886299311
f7_4	f7_1	0.483634817258351
f7_2	f7_4	0.509285134382104
f7_4	f7_2	0.491051011721395
f7_3	f7_4	0.339120884931125
f7_4	f7_3	0.339674619783401
f8_1	f8_3	0.513638358991313
f8_3	f8_1	0.505561929743063
f8_2	f8_3	0.496973163163418
f8_3	f8_2	0.493166345486818
f8_1	f8_4	0.513871789270494
f8_4	f8_1	0.494260032470457
f8_2	f8_4	0.483598240586322
f8_4	f8_2	0.48073259023262
f8_3	f8_4	0.384707694243982
f8_4	f8_3	0.362907101445694
f9_1	f9_3	0.510701457660049
f9_3	f9_1	0.480020456059176
f9_2	f9_3	0.51523098018961
f9_3	f9_2	0.505344620707758
f9_1	f9_4	0.491935737240586
f9_4	f9_1	0.498104224768555
f9_2	f9_4	0.511850840840373
f9_4	f9_2	0.518324332618179
f9_3	f9_4	0.330734354606713
f9_4	f9_3	0.348211492194294
f10_1	f10_3	0.508094147585483
f10_3	f10_1	0.507331537834441
f10_2	f10_3	0.481069653506102
f10_3	f10_2	0.486141706474857
f10_1	f10_4	0.505230589571727
f10_4	f10_1	0.495882579343358
f10_2	f10_4	0.480901216033826
f10_4	f10_2	0.495599540046312
f10_3	f10_4	0.332277955900273
f10_4	f10_3	0.320453132680138
f11_1	f11_3	0.506571679627673
f11_3	f11_1	0.507883689620944
f11_2	f11_3	0.49647231124795
f11_3	f11_2	0.508674186969442
f11_1	f11_4	0.509238412993565
f11_4	f11_1	0.503838484499604
f11_2	f11_4	0.494419729113021
f11_4	f11_2	0.503716379325009
f11_3	f11_4	0.327616324178261
f11_4	f11_3	0.319087882459344
f12_1	f12_3	0.500572776476827
f12_3	f12_1	0.502220030378725
f12_2	f12_3	0.483504034678387
f12_3	f12_2	0.505647997746913
