i	j	phi_value
f1_1	f1_3	0.391629953132597
f1_3	f1_1	0.391629953132597
f1_2	f1_3	0.5514264905866
f1_3	f1_2	0.5514264905866
f1_1	f1_4	0.394002449319351
f1_4	f1_1	0.394002449319351
f1_2	f1_4	0.549458717279024
f1_4	f1_2	0.549458717279024
f1_3	f1_4	0.587272511321038
f1_4	f1_3	0.587272511321038
f2_1	f2_3	0.444735678666881
f2_3	f2_1	0.444735678666881
f2_2	f2_3	0.597284629996846
f2_3	f2_2	0.597284629996846
f2_1	f2_4	0.469536811429845
f2_4	f2_1	0.469536811429845
f2_2	f2_4	0.576665919457208
f2_4	f2_2	0.576665919457208
f2_3	f2_4	0.596067083285473
f2_4	f2_3	0.596067083285473
f3_1	f3_3	0.659857893888238
f3_3	f3_1	0.659857893888238
f3_2	f3_3	0.523784216116739
f3_3	f3_2	0.523784216116739
f3_1	f3_4	0.655609852777473
f3_4	f3_1	0.655609852777473
f3_2	f3_4	0.536801497329829
f3_4	f3_2	0.536801497329829
f3_3	f3_4	0.637655072226887
f3_4	f3_3	0.637655072226887
f4_1	f4_3	0.471588972700808
f4_3	f4_1	0.471588972700808
f4_2	f4_3	0.51466659952543
f4_3	f4_2	0.51466659952543
f4_1	f4_4	0.480939179539761
f4_4	f4_1	0.480939179539761
f4_2	f4_4	0.521497123002914
f4_4	f4_2	0.521497123002914
f4_3	f4_4	0.586264915189932
f4_4	f4_3	0.586264915189932
f5_1	f5_3	0.463962025862806
f5_3	f5_1	0.463962025862806
f5_2	f5_3	0.469189398091122
f5_3	f5_2	0.469189398091122
f5_1	f5_4	0.462005725291808
f5_4	f5_1	0.462005725291808
f5_2	f5_4	0.482936696630579
f5_4	f5_2	0.482936696630579
f5_3	f5_4	0.584909592132744
f5_4	f5_3	0.584909592132744
f6_1	f6_3	0.462434406153145
f6_3	f6_1	0.462434406153145
f6_2	f6_3	0.498203329754832
f6_3	f6_2	0.498203329754832
f6_1	f6_4	0.457756133188702
f6_4	f6_1	0.457756133188702
f6_2	f6_4	0.499602951992316
f6_4	f6_2	0.499602951992316
f6_3	f6_4	0.574543514718263
f6_4	f6_3	0.574543514718263
f7_1	f7_3	0.619585859666842
f7_3	f7_1	0.619585859666842
f7_2	f7_3	0.53567819138375
f7_3	f7_2	0.53567819138375
f7_1	f7_4	0.610481376305542
f7_4	f7_1	0.610481376305542
f7_2	f7_4	0.544796328921192
f7_4	f7_2	0.544796328921192
f7_3	f7_4	0.630060436700962
f7_4	f7_3	0.630060436700962
f8_1	f8_3	0.620694757888571
f8_3	f8_1	0.620694757888571
f8_2	f8_3	0.678147281449795
f8_3	f8_2	0.678147281449795
f8_1	f8_4	0.635700244676733
f8_4	f8_1	0.635700244676733
f8_2	f8_4	0.667519914308253
f8_4	f8_2	0.667519914308253
f8_3	f8_4	0.666058598382201
f8_4	f8_3	0.666058598382201
f9_1	f9_3	0.565426007530866
f9_3	f9_1	0.565426007530866
f9_2	f9_3	0.441910516744889
f9_3	f9_2	0.441910516744889
f9_1	f9_4	0.571334937701247
f9_4	f9_1	0.571334937701247
f9_2	f9_4	0.452834158867698
f9_4	f9_2	0.452834158867698
f9_3	f9_4	0.603419933086388
f9_4	f9_3	0.603419933086388
f10_1	f10_3	0.422577218780137
f10_3	f10_1	0.422577218780137
f10_2	f10_3	0.579993368681725
f10_3	f10_2	0.579993368681725
f10_1	f10_4	0.435743034429132
f10_4	f10_1	0.435743034429132
f10_2	f10_4	0.584509291881928
f10_4	f10_2	0.584509291881928
f10_3	f10_4	0.572284862131741
f10_4	f10_3	0.572284862131741
f11_1	f11_3	0.420334369257187
f11_3	f11_1	0.420334369257187
f11_2	f11_3	0.430895753581551
f11_3	f11_2	0.430895753581551
f11_1	f11_4	0.413562778893578
f11_4	f11_1	0.413562778893578
f11_2	f11_4	0.436586108841217
f11_4	f11_2	0.436586108841217
f11_3	f11_4	0.563675474106823
f11_4	f11_3	0.563675474106823
f12_1	f12_3	0.300294931199448
f12_3	f12_1	0.300294931199448
f12_2	f12_3	0.550652216860044
f12_3	f12_2	0.550652216860044
f12_1	f12_4	0.298384368603838
f12_4	f12_1	0.298384368603838
f12_2	f12_4	0.539523661487189
f12_4	f12_2	0.539523661487189
f12_3	f12_4	0.55391198869396
f12_4	f12_3	0.55391198869396
f13_1	f13_3	0.355394080129974
f13_3	f13_1	0.355394080129974
f13_2	f13_3	0.347392671469209
f13_3	f13_2	0.347392671469209
f13_1	f13_4	0.361637915994829
f13_4	f13_1	0.361637915994829
f13_2	f13_4	0.364904461666023
f13_4	f13_2	0.364904461666023
f13_3	f13_4	0.542843284050866
f13_4	f13_3	0.542843284050866
f14_1	f14_3	0.45891122709918
f14_3	f14_1	0.45891122709918
f14_2	f14_3	0.607959933479913
f14_3	f14_2	0.607959933479913
f14_1	f14_4	0.462067206790629
f14_4	f14_1	0.462067206790629
f14_2	f14_4	0.619001759605829
f14_4	f14_2	0.619001759605829
f14_3	f14_4	0.609713996125169
f14_4	f14_3	0.609713996125169
f15_1	f15_3	0.814656974690802
f15_3	f15_1	0.814656974690802
f15_2	f15_3	0.692263438273718
f15_3	f15_2	0.692263438273718
f15_1	f15_4	0.824139338194093
f15_4	f15_1	0.824139338194093
f15_2	f15_4	0.671287594759525
f15_4	f15_2	0.671287594759525
f15_3	f15_4	0.731272713715448
f15_4	f15_3	0.731272713715448
f16_1	f16_3	0.515497692510288
f16_3	f16_1	0.515497692510288
f16_2	f16_3	0.461783434917552
f16_3	f16_2	0.461783434917552
f16_1	f16_4	0.526454290590683
f16_4	f16_1	0.526454290590683
f16_2	f16_4	0.474769487451059
f16_4	f16_2	0.474769487451059
f16_3	f16_4	0.60027963336037
f16_4	f16_3	0.60027963336037
f17_1	f17_3	0.533286024265972
f17_3	f17_1	0.533286024265972
f17_2	f17_3	0.344692087307818
f17_3	f17_2	0.344692087307818
f17_1	f17_4	0.523626346441238
f17_4	f17_1	0.523626346441238
f17_2	f17_4	0.351224965273041
f17_4	f17_2	0.351224965273041
f17_3	f17_4	0.576720887404705
f17_4	f17_3	0.576720887404705
f18_1	f18_3	0.552945176619527
f18_3	f18_1	0.552945176619527
f18_2	f18_3	0.583455384639335
f18_3	f18_2	0.583455384639335
f18_1	f18_4	0.556871813853862
f18_4	f18_1	0.556871813853862
f18_2	f18_4	0.603054980719705
f18_4	f18_2	0.603054980719705
f18_3	f18_4	0.626903617955976
f18_4	f18_3	0.626903617955976
f19_1	f19_3	0.301182697775924
f19_3	f19_1	0.301182697775924
f19_2	f19_3	0.530995196796267
f19_3	f19_2	0.530995196796267
f19_1	f19_4	0.291068009525086
f19_4	f19_1	0.291068009525086
f19_2	f19_4	0.527945727745956
f19_4	f19_2	0.527945727745956
f19_3	f19_4	0.560670276502347
f19_4	f19_3	0.560670276502347
f20_1	f20_3	0.576853732548612
f20_3	f20_1	0.576853732548612
f20_2	f20_3	0.509793583720571
f20_3	f20_2	0.509793583720571
f20_1	f20_4	0.570849492475273
f20_4	f20_1	0.570849492475273
f20_2	f20_4	0.538709775154306
f20_4	f20_2	0.538709775154306
f20_3	f20_4	0.613616947024764
f20_4	f20_3	0.613616947024764
f21_1	f21_3	0.551195470505495
f21_3	f21_1	0.551195470505495
f21_2	f21_3	0.454216074382818
f21_3	f21_2	0.454216074382818
f21_1	f21_4	0.536117784383607
f21_4	f21_1	0.536117784383607
f21_2	f21_4	0.431919017788654
f21_4	f21_2	0.431919017788654
f21_3	f21_4	0.595965854231111
f21_4	f21_3	0.595965854231111
f22_1	f22_3	0.4792462214356
f22_3	f22_1	0.4792462214356
f22_2	f22_3	0.699034309438644
f22_3	f22_2	0.699034309438644
f22_1	f22_4	0.474459492525818
f22_4	f22_1	0.474459492525818
f22_2	f22_4	0.691163117861295
f22_4	f22_2	0.691163117861295
f22_3	f22_4	0.634928103020785
f22_4	f22_3	0.634928103020785
f23_1	f23_3	0.329782087424921
f23_3	f23_1	0.329782087424921
f23_2	f23_3	0.662761861972577
f23_3	f23_2	0.662761861972577
f23_1	f23_4	0.32900741121942
f23_4	f23_1	0.32900741121942
f23_2	f23_4	0.657213281339033
f23_4	f23_2	0.657213281339033
f23_3	f23_4	0.576072496521274
f23_4	f23_3	0.576072496521274
f24_1	f24_3	0.586127801795394
f24_3	f24_1	0.586127801795394
f24_2	f24_3	0.353784614416824
f24_3	f24_2	0.353784614416824
f24_1	f24_4	0.592306482986641
f24_4	f24_1	0.592306482986641
f24_2	f24_4	0.345519178972968
f24_4	f24_2	0.345519178972968
f24_3	f24_4	0.580326852236107
f24_4	f24_3	0.580326852236107
f25_1	f25_3	0.468957543390058
f25_3	f25_1	0.468957543390058
f25_2	f25_3	0.562076308424098
f25_3	f25_2	0.562076308424098
f25_1	f25_4	0.469296034876819
f25_4	f25_1	0.469296034876819
f25_2	f25_4	0.551504231789985
f25_4	f25_2	0.551504231789985
f25_3	f25_4	0.604528755610286
f25_4	f25_3	0.604528755610286
f26_1	f26_3	0.589594096691683
f26_3	f26_1	0.589594096691683
f26_2	f26_3	0.364935519398438
f26_3	f26_2	0.364935519398438
f26_1	f26_4	0.60999930737798
f26_4	f26_1	0.60999930737798
f26_2	f26_4	0.350072741382255
f26_4	f26_2	0.350072741382255
f26_3	f26_4	0.589629969458669
f26_4	f26_3	0.589629969458669
f27_1	f27_3	0.493887122355546
f27_3	f27_1	0.493887122355546
f27_2	f27_3	0.549895940921551
f27_3	f27_2	0.549895940921551
f27_1	f27_4	0.491374731463663
f27_4	f27_1	0.491374731463663
f27_2	f27_4	0.555005527139418
f27_4	f27_2	0.555005527139418
f27_3	f27_4	0.608568763686441
f27_4	f27_3	0.608568763686441
f28_1	f28_3	0.586071427853803
f28_3	f28_1	0.586071427853803
f28_2	f28_3	0.487552890812797
f28_3	f28_2	0.487552890812797
f28_1	f28_4	0.562928606251268
f28_4	f28_1	0.562928606251268
f28_2	f28_4	0.486127941413907
f28_4	f28_2	0.486127941413907
f28_3	f28_4	0.623576284187544
f28_4	f28_3	0.623576284187544
f29_1	f29_3	0.589782786557449
f29_3	f29_1	0.589782786557449
f29_2	f29_3	0.365511785623668
f29_3	f29_2	0.365511785623668
f29_1	f29_4	0.589606358829587
f29_4	f29_1	0.589606358829587
f29_2	f29_4	0.384417633384246
f29_4	f29_2	0.384417633384246
f29_3	f29_4	0.57755814193617
f29_4	f29_3	0.57755814193617
f30_1	f30_3	0.552090488376679
f30_3	f30_1	0.552090488376679
f30_2	f30_3	0.467663454695407
f30_3	f30_2	0.467663454695407
f30_1	f30_4	0.537503086199978
f30_4	f30_1	0.537503086199978
f30_2	f30_4	0.458164278762709
f30_4	f30_2	0.458164278762709
f30_3	f30_4	0.589079468023243
f30_4	f30_3	0.589079468023243
f31_1	f31_3	0.755020915984668
f31_3	f31_1	0.755020915984668
f31_2	f31_3	0.466323783697951
f31_3	f31_2	0.466323783697951
f31_1	f31_4	0.750426322901775
f31_4	f31_1	0.750426322901775
f31_2	f31_4	0.459443589361787
f31_4	f31_2	0.459443589361787
f31_3	f31_4	0.615844906431564
f31_4	f31_3	0.615844906431564
f32_1	f32_3	0.603702934309946
f32_3	f32_1	0.603702934309946
f32_2	f32_3	0.712426860732528
f32_3	f32_2	0.712426860732528
f32_1	f32_4	0.612719213585043
f32_4	f32_1	0.612719213585043
f32_2	f32_4	0.719385272557135
f32_4	f32_2	0.719385272557135
f32_3	f32_4	0.672226319157643
f32_4	f32_3	0.672226319157643
f33_1	f33_3	0.552036541986305
f33_3	f33_1	0.552036541986305
f33_2	f33_3	0.561596144571418
f33_3	f33_2	0.561596144571418
f33_1	f33_4	0.544886881026705
f33_4	f33_1	0.544886881026705
f33_2	f33_4	0.555114007111233
f33_4	f33_2	0.555114007111233
f33_3	f33_4	0.624624326213481
f33_4	f33_3	0.624624326213481
f34_1	f34_3	0.548145519796038
f34_3	f34_1	0.548145519796038
f34_2	f34_3	0.230652449874992
f34_3	f34_2	0.230652449874992
f34_1	f34_4	0.530855841692279
f34_4	f34_1	0.530855841692279
f34_2	f34_4	0.229589102289865
f34_4	f34_2	0.229589102289865
f34_3	f34_4	0.530895130005701
f34_4	f34_3	0.530895130005701
f35_1	f35_3	0.492328624445972
f35_3	f35_1	0.492328624445972
f35_2	f35_3	0.563231259616873
f35_3	f35_2	0.563231259616873
f35_1	f35_4	0.502649158210454
f35_4	f35_1	0.502649158210454
f35_2	f35_4	0.546065101960319
f35_4	f35_2	0.546065101960319
f35_3	f35_4	0.605877213172493
f35_4	f35_3	0.605877213172493
f36_1	f36_3	0.429966136205062
f36_3	f36_1	0.429966136205062
f36_2	f36_3	0.732685349449848
f36_3	f36_2	0.732685349449848
f36_1	f36_4	0.430232468744649
f36_4	f36_1	0.430232468744649
f36_2	f36_4	0.747932637609014
f36_4	f36_2	0.747932637609014
f36_3	f36_4	0.602955863587657
f36_4	f36_3	0.602955863587657
f37_1	f37_3	0.353275315760728
f37_3	f37_1	0.353275315760728
f37_2	f37_3	0.350038886616765
f37_3	f37_2	0.350038886616765
f37_1	f37_4	0.347937041181053
f37_4	f37_1	0.347937041181053
f37_2	f37_4	0.353952322273125
f37_4	f37_2	0.353952322273125
f37_3	f37_4	0.537786341747827
f37_4	f37_3	0.537786341747827
f38_1	f38_3	0.57211541299107
f38_3	f38_1	0.57211541299107
f38_2	f38_3	0.392418534796778
f38_3	f38_2	0.392418534796778
f38_1	f38_4	0.567502496708814
f38_4	f38_1	0.567502496708814
f38_2	f38_4	0.383760024911695
f38_4	f38_2	0.383760024911695
f38_3	f38_4	0.567448561464678
f38_4	f38_3	0.567448561464678
f39_1	f39_3	0.471035517482806
f39_3	f39_1	0.471035517482806
f39_2	f39_3	0.398946032079893
f39_3	f39_2	0.398946032079893
f39_1	f39_4	0.476056888013454
f39_4	f39_1	0.476056888013454
