i	j	phi_value
f1_1	f1_3	0.253107704700847
f1_3	f1_1	0.253107704700847
f1_2	f1_3	0.256209360902197
f1_3	f1_2	0.256209360902197
f1_1	f1_4	0.246400093583282
f1_4	f1_1	0.246400093583282
f1_2	f1_4	0.258272007571912
f1_4	f1_2	0.258272007571912
f1_3	f1_4	0.319723115079743
f1_4	f1_3	0.319723115079743
f2_1	f2_3	0.23943498636702
f2_3	f2_1	0.23943498636702
f2_2	f2_3	0.269129191610258
f2_3	f2_2	0.269129191610258
f2_1	f2_4	0.235189461526772
f2_4	f2_1	0.235189461526772
f2_2	f2_4	0.25637865994876
f2_4	f2_2	0.25637865994876
f2_3	f2_4	0.333329163055087
f2_4	f2_3	0.333329163055087
f3_1	f3_3	0.238667402761985
f3_3	f3_1	0.238667402761985
f3_2	f3_3	0.246229758747901
f3_3	f3_2	0.246229758747901
f3_1	f3_4	0.249115874638114
f3_4	f3_1	0.249115874638114
f3_2	f3_4	0.242516214303127
f3_4	f3_2	0.242516214303127
f3_3	f3_4	0.360380180896424
f3_4	f3_3	0.360380180896424
f4_1	f4_3	0.270777785846273
f4_3	f4_1	0.270777785846273
f4_2	f4_3	0.247580588310594
f4_3	f4_2	0.247580588310594
f4_1	f4_4	0.264749897586373
f4_4	f4_1	0.264749897586373
f4_2	f4_4	0.253076081815287
f4_4	f4_2	0.253076081815287
f4_3	f4_4	0.338804405064652
f4_4	f4_3	0.338804405064652
f5_1	f5_3	0.246168307922462
f5_3	f5_1	0.246168307922462
f5_2	f5_3	0.250754542926675
f5_3	f5_2	0.250754542926675
f5_1	f5_4	0.241196561690653
f5_4	f5_1	0.241196561690653
f5_2	f5_4	0.243053130967564
f5_4	f5_2	0.243053130967564
f5_3	f5_4	0.316624063892029
f5_4	f5_3	0.316624063892029
f6_1	f6_3	0.249104366736959
f6_3	f6_1	0.249104366736959
f6_2	f6_3	0.253884466451906
f6_3	f6_2	0.253884466451906
f6_1	f6_4	0.25356292475715
f6_4	f6_1	0.25356292475715
f6_2	f6_4	0.251403602611853
f6_4	f6_2	0.251403602611853
f6_3	f6_4	0.317758007169247
f6_4	f6_3	0.317758007169247
f7_1	f7_3	0.249832873968531
f7_3	f7_1	0.249832873968531
f7_2	f7_3	0.256118457446797
f7_3	f7_2	0.256118457446797
f7_1	f7_4	0.257761439071153
f7_4	f7_1	0.257761439071153
f7_2	f7_4	0.249468968517607
f7_4	f7_2	0.249468968517607
f7_3	f7_4	0.356456324356767
f7_4	f7_3	0.356456324356767
f8_1	f8_3	0.23555417052538
f8_3	f8_1	0.23555417052538
f8_2	f8_3	0.240726260731454
f8_3	f8_2	0.240726260731454
f8_1	f8_4	0.238535881380208
f8_4	f8_1	0.238535881380208
f8_2	f8_4	0.252025237173216
f8_4	f8_2	0.252025237173216
f8_3	f8_4	0.358953011622069
f8_4	f8_3	0.358953011622069
f9_1	f9_3	0.250945488348268
f9_3	f9_1	0.250945488348268
f9_2	f9_3	0.250966412758335
f9_3	f9_2	0.250966412758335
f9_1	f9_4	0.254268514385892
f9_4	f9_1	0.254268514385892
f9_2	f9_4	0.250973936732492
f9_4	f9_2	0.250973936732492
f9_3	f9_4	0.339707910262338
f9_4	f9_3	0.339707910262338
f10_1	f10_3	0.246512314481462
f10_3	f10_1	0.246512314481462
f10_2	f10_3	0.243578511938886
f10_3	f10_2	0.243578511938886
f10_1	f10_4	0.255816372955906
f10_4	f10_1	0.255816372955906
f10_2	f10_4	0.239403075985626
f10_4	f10_2	0.239403075985626
f10_3	f10_4	0.338934685499321
f10_4	f10_3	0.338934685499321
f11_1	f11_3	0.25295109333952
f11_3	f11_1	0.25295109333952
f11_2	f11_3	0.249154136307462
f11_3	f11_2	0.249154136307462
f11_1	f11_4	0.251967063062416
f11_4	f11_1	0.251967063062416
f11_2	f11_4	0.256755080356907
f11_4	f11_2	0.256755080356907
f11_3	f11_4	0.318186761667103
f11_4	f11_3	0.318186761667103
f12_1	f12_3	0.255090158546587
f12_3	f12_1	0.255090158546587
f12_2	f12_3	0.248772685206084
f12_3	f12_2	0.248772685206084
f12_1	f12_4	0.254847493790118
f12_4	f12_1	0.254847493790118
