i	j	phi_value
f1_1	f1_3	0.617485557359403
f1_3	f1_1	0.617485557359403
f1_2	f1_3	0.450489218117728
f1_3	f1_2	0.450489218117728
f1_1	f1_4	0.609596883136191
f1_4	f1_1	0.609596883136191
f1_2	f1_4	0.446655746963561
f1_4	f1_2	0.446655746963561
f1_3	f1_4	0.596505110056092
f1_4	f1_3	0.596505110056092
f2_1	f2_3	0.567987056199045
f2_3	f2_1	0.567987056199045
f2_2	f2_3	0.40654058597926
f2_3	f2_2	0.40654058597926
f2_1	f2_4	0.544028769218973
f2_4	f2_1	0.544028769218973
f2_2	f2_4	0.415196153625536
f2_4	f2_2	0.415196153625536
f2_3	f2_4	0.593567295660797
f2_4	f2_3	0.593567295660797
f3_1	f3_3	0.337254349022555
f3_3	f3_1	0.337254349022555
f3_2	f3_3	0.466864562427821
f3_3	f3_2	0.466864562427821
f3_1	f3_4	0.355470300007962
f3_4	f3_1	0.355470300007962
f3_2	f3_4	0.459477295835989
f3_4	f3_2	0.459477295835989
f3_3	f3_4	0.557315041126257
f3_4	f3_3	0.557315041126257
f4_1	f4_3	0.518567720890967
f4_3	f4_1	0.518567720890967
f4_2	f4_3	0.465673952439488
f4_3	f4_2	0.465673952439488
f4_1	f4_4	0.516014424105697
f4_4	f4_1	0.516014424105697
f4_2	f4_4	0.462366875118512
f4_4	f4_2	0.462366875118512
f4_3	f4_4	0.597940554210004
f4_4	f4_3	0.597940554210004
f5_1	f5_3	0.54402993210279
f5_3	f5_1	0.54402993210279
f5_2	f5_3	0.513539849827857
f5_3	f5_2	0.513539849827857
f5_1	f5_4	0.538203234092422
f5_4	f5_1	0.538203234092422
f5_2	f5_4	0.528387273247331
f5_4	f5_2	0.528387273247331
f5_3	f5_4	0.616947048668143
f5_4	f5_3	0.616947048668143
f6_1	f6_3	0.538733590178543
f6_3	f6_1	0.538733590178543
f6_2	f6_3	0.505702911898081
f6_3	f6_2	0.505702911898081
f6_1	f6_4	0.544617183425187
f6_4	f6_1	0.544617183425187
f6_2	f6_4	0.490249698104668
f6_4	f6_2	0.490249698104668
f6_3	f6_4	0.614204679616854
f6_4	f6_3	0.614204679616854
f7_1	f7_3	0.391612822762344
f7_3	f7_1	0.391612822762344
f7_2	f7_3	0.460806501820093
f7_3	f7_2	0.460806501820093
f7_1	f7_4	0.406743970756177
f7_4	f7_1	0.406743970756177
f7_2	f7_4	0.44491383160301
f7_4	f7_2	0.44491383160301
f7_3	f7_4	0.582450353729748
f7_4	f7_3	0.582450353729748
f8_1	f8_3	0.392995780413341
f8_3	f8_1	0.392995780413341
f8_2	f8_3	0.324210047561663
f8_3	f8_2	0.324210047561663
f8_1	f8_4	0.383526737923632
f8_4	f8_1	0.383526737923632
f8_2	f8_4	0.335768022036961
f8_4	f8_2	0.335768022036961
f8_3	f8_4	0.56086564773665
f8_4	f8_3	0.56086564773665
f9_1	f9_3	0.420806174226663
f9_3	f9_1	0.420806174226663
f9_2	f9_3	0.536365750566697
f9_3	f9_2	0.536365750566697
f9_1	f9_4	0.425856098970102
f9_4	f9_1	0.425856098970102
f9_2	f9_4	0.538484539131303
f9_4	f9_2	0.538484539131303
f9_3	f9_4	0.595286363179903
f9_4	f9_3	0.595286363179903
f10_1	f10_3	0.552628050758043
f10_3	f10_1	0.552628050758043
f10_2	f10_3	0.411296690260924
f10_3	f10_2	0.411296690260924
f10_1	f10_4	0.562764720414103
f10_4	f10_1	0.562764720414103
f10_2	f10_4	0.417090223734995
f10_4	f10_2	0.417090223734995
f10_3	f10_4	0.597838333357499
f10_4	f10_3	0.597838333357499
f11_1	f11_3	0.594440899866717
f11_3	f11_1	0.594440899866717
f11_2	f11_3	0.532344919407597
f11_3	f11_2	0.532344919407597
f11_1	f11_4	0.56541011660904
f11_4	f11_1	0.56541011660904
f11_2	f11_4	0.572282989955654
f11_4	f11_2	0.572282989955654
f11_3	f11_4	0.63009173586357
f11_4	f11_3	0.63009173586357
f12_1	f12_3	0.693948167327539
f12_3	f12_1	0.693948167327539
f12_2	f12_3	0.460523524627896
f12_3	f12_2	0.460523524627896
f12_1	f12_4	0.696515046771405
f12_4	f12_1	0.696515046771405
f12_2	f12_4	0.449696165298432
f12_4	f12_2	0.449696165298432
f12_3	f12_4	0.610425247284165
f12_4	f12_3	0.610425247284165
f13_1	f13_3	0.634922329646773
f13_3	f13_1	0.634922329646773
f13_2	f13_3	0.671514364639855
f13_3	f13_2	0.671514364639855
f13_1	f13_4	0.643678222033989
f13_4	f13_1	0.643678222033989
f13_2	f13_4	0.65618631215991
f13_4	f13_2	0.65618631215991
f13_3	f13_4	0.673528863894141
f13_4	f13_3	0.673528863894141
f14_1	f14_3	0.546709199492956
f14_3	f14_1	0.546709199492956
f14_2	f14_3	0.408620563679061
f14_3	f14_2	0.408620563679061
f14_1	f14_4	0.53502917003093
f14_4	f14_1	0.53502917003093
f14_2	f14_4	0.395055953918424
f14_4	f14_2	0.395055953918424
f14_3	f14_4	0.591124620386807
f14_4	f14_3	0.591124620386807
f15_1	f15_3	0.211954241635403
f15_3	f15_1	0.211954241635403
f15_2	f15_3	0.313667719602301
f15_3	f15_2	0.313667719602301
f15_1	f15_4	0.204007661603728
f15_4	f15_1	0.204007661603728
f15_2	f15_4	0.304114790827157
f15_4	f15_2	0.304114790827157
f15_3	f15_4	0.523353615508417
f15_4	f15_3	0.523353615508417
f16_1	f16_3	0.504450557993572
f16_3	f16_1	0.504450557993572
f16_2	f16_3	0.537896446030017
f16_3	f16_2	0.537896446030017
f16_1	f16_4	0.510515450278356
f16_4	f16_1	0.510515450278356
f16_2	f16_4	0.535264113783275
f16_4	f16_2	0.535264113783275
f16_3	f16_4	0.600629434701124
f16_4	f16_3	0.600629434701124
f17_1	f17_3	0.470986688519709
f17_3	f17_1	0.470986688519709
f17_2	f17_3	0.632136364337651
f17_3	f17_2	0.632136364337651
f17_1	f17_4	0.449819423747629
f17_4	f17_1	0.449819423747629
f17_2	f17_4	0.616927656389178
f17_4	f17_2	0.616927656389178
f17_3	f17_4	0.612614604732144
f17_4	f17_3	0.612614604732144
f18_1	f18_3	0.439690830199013
f18_3	f18_1	0.439690830199013
f18_2	f18_3	0.421000887304329
f18_3	f18_2	0.421000887304329
f18_1	f18_4	0.436808570773669
f18_4	f18_1	0.436808570773669
f18_2	f18_4	0.440281996534086
f18_4	f18_2	0.440281996534086
f18_3	f18_4	0.580204948450828
f18_4	f18_3	0.580204948450828
f19_1	f19_3	0.687525776972695
f19_3	f19_1	0.687525776972695
f19_2	f19_3	0.473347799816989
f19_3	f19_2	0.473347799816989
f19_1	f19_4	0.698779581817998
f19_4	f19_1	0.698779581817998
f19_2	f19_4	0.468617773540755
f19_4	f19_2	0.468617773540755
f19_3	f19_4	0.619965816895196
f19_4	f19_3	0.619965816895196
f20_1	f20_3	0.442873938678475
f20_3	f20_1	0.442873938678475
f20_2	f20_3	0.486776568176887
f20_3	f20_2	0.486776568176887
f20_1	f20_4	0.431659718285755
f20_4	f20_1	0.431659718285755
f20_2	f20_4	0.454106151241342
f20_4	f20_2	0.454106151241342
f20_3	f20_4	0.594391956235433
f20_4	f20_3	0.594391956235433
f21_1	f21_3	0.460457204794997
f21_3	f21_1	0.460457204794997
f21_2	f21_3	0.535889778930056
f21_3	f21_2	0.535889778930056
f21_1	f21_4	0.474405635942066
f21_4	f21_1	0.474405635942066
f21_2	f21_4	0.543932030935731
f21_4	f21_2	0.543932030935731
f21_3	f21_4	0.592886877247644
f21_4	f21_3	0.592886877247644
f22_1	f22_3	0.516163468527636
f22_3	f22_1	0.516163468527636
f22_2	f22_3	0.326831584383556
f22_3	f22_2	0.326831584383556
f22_1	f22_4	0.509287916118973
f22_4	f22_1	0.509287916118973
f22_2	f22_4	0.325624334390249
f22_4	f22_2	0.325624334390249
f22_3	f22_4	0.560503104585625
f22_4	f22_3	0.560503104585625
f23_1	f23_3	0.667718655691802
f23_3	f23_1	0.667718655691802
f23_2	f23_3	0.342647397769144
f23_3	f23_2	0.342647397769144
f23_1	f23_4	0.679593037308436
f23_4	f23_1	0.679593037308436
f23_2	f23_4	0.333460860448309
f23_4	f23_2	0.333460860448309
f23_3	f23_4	0.579207392663778
f23_4	f23_3	0.579207392663778
f24_1	f24_3	0.416680524892298
f24_3	f24_1	0.416680524892298
f24_2	f24_3	0.656073856362342
f24_3	f24_2	0.656073856362342
f24_1	f24_4	0.418864992735272
f24_4	f24_1	0.418864992735272
f24_2	f24_4	0.668865785277585
f24_4	f24_2	0.668865785277585
f24_3	f24_4	0.622083440517979
f24_4	f24_3	0.622083440517979
f25_1	f25_3	0.541342503005599
f25_3	f25_1	0.541342503005599
f25_2	f25_3	0.432454182753506
f25_3	f25_2	0.432454182753506
f25_1	f25_4	0.525562229492097
f25_4	f25_1	0.525562229492097
f25_2	f25_4	0.448975994027705
f25_4	f25_2	0.448975994027705
f25_3	f25_4	0.589856751651807
f25_4	f25_3	0.589856751651807
f26_1	f26_3	0.393377409891875
f26_3	f26_1	0.393377409891875
f26_2	f26_3	0.625125835500978
f26_3	f26_2	0.625125835500978
f26_1	f26_4	0.381755921891104
f26_4	f26_1	0.381755921891104
f26_2	f26_4	0.619451089332996
f26_4	f26_2	0.619451089332996
f26_3	f26_4	0.584435788033135
f26_4	f26_3	0.584435788033135
f27_1	f27_3	0.527616692835378
f27_3	f27_1	0.527616692835378
f27_2	f27_3	0.449985218606038
f27_3	f27_2	0.449985218606038
f27_1	f27_4	0.519631580596994
f27_4	f27_1	0.519631580596994
f27_2	f27_4	0.456693831271388
f27_4	f27_2	0.456693831271388
f27_3	f27_4	0.585928461111872
f27_4	f27_3	0.585928461111872
f28_1	f28_3	0.433695867971838
f28_3	f28_1	0.433695867971838
f28_2	f28_3	0.502196472803519
f28_3	f28_2	0.502196472803519
f28_1	f28_4	0.412471048756451
f28_4	f28_1	0.412471048756451
f28_2	f28_4	0.496333446026384
f28_4	f28_2	0.496333446026384
f28_3	f28_4	0.572953266758856
f28_4	f28_3	0.572953266758856
f29_1	f29_3	0.410485849503035
f29_3	f29_1	0.410485849503035
f29_2	f29_3	0.625345739133681
f29_3	f29_2	0.625345739133681
f29_1	f29_4	0.41813152791118
f29_4	f29_1	0.41813152791118
f29_2	f29_4	0.609149189190667
f29_4	f29_2	0.609149189190667
f29_3	f29_4	0.599480013119612
f29_4	f29_3	0.599480013119612
f30_1	f30_3	0.454136326612023
f30_3	f30_1	0.454136326612023
f30_2	f30_3	0.554244944967143
f30_3	f30_2	0.554244944967143
f30_1	f30_4	0.45548329717313
f30_4	f30_1	0.45548329717313
f30_2	f30_4	0.544404990104729
f30_4	f30_2	0.544404990104729
f30_3	f30_4	0.603882215030748
f30_4	f30_3	0.603882215030748
f31_1	f31_3	0.243322150555779
f31_3	f31_1	0.243322150555779
f31_2	f31_3	0.535943276917024
f31_3	f31_2	0.535943276917024
f31_1	f31_4	0.253492964085843
f31_4	f31_1	0.253492964085843
f31_2	f31_4	0.520594891917743
f31_4	f31_2	0.520594891917743
f31_3	f31_4	0.547722302672232
f31_4	f31_3	0.547722302672232
f32_1	f32_3	0.386097397765995
f32_3	f32_1	0.386097397765995
f32_2	f32_3	0.303188413173762
f32_3	f32_2	0.303188413173762
f32_1	f32_4	0.392319476661837
f32_4	f32_1	0.392319476661837
f32_2	f32_4	0.287224512062726
f32_4	f32_2	0.287224512062726
f32_3	f32_4	0.528811001557395
f32_4	f32_3	0.528811001557395
f33_1	f33_3	0.474547994786671
f33_3	f33_1	0.474547994786671
f33_2	f33_3	0.429502124757734
f33_3	f33_2	0.429502124757734
f33_1	f33_4	0.472368320953762
f33_4	f33_1	0.472368320953762
f33_2	f33_4	0.432009208894254
f33_4	f33_2	0.432009208894254
f33_3	f33_4	0.592652406044139
f33_4	f33_3	0.592652406044139
f34_1	f34_3	0.449590629148238
f34_3	f34_1	0.449590629148238
f34_2	f34_3	0.78902000309053
f34_3	f34_2	0.78902000309053
f34_1	f34_4	0.46691983585387
f34_4	f34_1	0.46691983585387
f34_2	f34_4	0.798947844437137
f34_4	f34_2	0.798947844437137
f34_3	f34_4	0.641741658161412
f34_4	f34_3	0.641741658161412
f35_1	f35_3	0.491882111421153
f35_3	f35_1	0.491882111421153
f35_2	f35_3	0.433851736748841
f35_3	f35_2	0.433851736748841
f35_1	f35_4	0.47831496805083
f35_4	f35_1	0.47831496805083
f35_2	f35_4	0.425936516980635
f35_4	f35_2	0.425936516980635
f35_3	f35_4	0.564346806250831
f35_4	f35_3	0.564346806250831
f36_1	f36_3	0.57716891029725
f36_3	f36_1	0.57716891029725
f36_2	f36_3	0.252199094889407
f36_3	f36_2	0.252199094889407
f36_1	f36_4	0.563999221044304
f36_4	f36_1	0.563999221044304
f36_2	f36_4	0.262034934667684
f36_4	f36_2	0.262034934667684
f36_3	f36_4	0.536310545006807
f36_4	f36_3	0.536310545006807
f37_1	f37_3	0.632222973281389
f37_3	f37_1	0.632222973281389
f37_2	f37_3	0.649773679521076
f37_3	f37_2	0.649773679521076
f37_1	f37_4	0.650194940130814
f37_4	f37_1	0.650194940130814
f37_2	f37_4	0.641023882620327
f37_4	f37_2	0.641023882620327
f37_3	f37_4	0.657708901427989
f37_4	f37_3	0.657708901427989
f38_1	f38_3	0.431458060989576
f38_3	f38_1	0.431458060989576
f38_2	f38_3	0.630371202031975
f38_3	f38_2	0.630371202031975
f38_1	f38_4	0.426310053207532
f38_4	f38_1	0.426310053207532
f38_2	f38_4	0.635026913801591
f38_4	f38_2	0.635026913801591
f38_3	f38_4	0.612879771357723
f38_4	f38_3	0.612879771357723
f39_1	f39_3	0.499862746617905
f39_3	f39_1	0.499862746617905
f39_2	f39_3	0.607110063755601
f39_3	f39_2	0.607110063755601
f39_1	f39_4	0.528491213042728
f39_4	f39_1	0.528491213042728
f39_2	f39_4	0.61069007382047
f39_4	f39_2	0.61069007382047
f39_3	f39_4	0.637644712012254
f39_4	f39_3	0.637644712012254
f40_1	f40_3	0.538251156077279
f40_3	f40_1	0.538251156077279
f40_2	f40_3	0.557692299060411
f40_3	f40_2	0.557692299060411
f40_1	f40_4	0.556459666335282
f40_4	f40_1	0.556459666335282
f40_2	f40_4	0.559821880825087
f40_4	f40_2	0.559821880825087
