REGION MARKER ANNO1 ANNO2
GSET-1 rs4 0.399698023451492 0.815304957330227
GSET-1 rs38 0.685654477681965 0.413703690981492
GSET-1 rs39 0.633512777741998 0.387352033052593
GSET-1 rs85 0.339170849649236 0.969459946500137
GSET-1 rs87 0.787868551444262 0.715090826619416
GSET-1 rs207 0.285621288930997 0.0131718500051647
GSET-1 rs231 0.996470264159143 0.599062215769663
GSET-1 rs247 0.224103266373277 0.165055314544588
GSET-1 rs259 0.57158410246484 0.462917660363019
GSET-1 rs271 0.625292955432087 0.680638331454247
GSET-2 rs340 0.289379859343171 0.647051714360714
GSET-2 rs359 0.123309536138549 0.753195920027792
GSET-2 rs366 0.541503999149427 0.805756392423064
GSET-2 rs417 0.233789248624817 0.205677589168772
GSET-2 rs423 0.560545167885721 0.211748351342976
GSET-2 rs434 0.0876129020471126 0.742562399245799
GSET-2 rs493 0.659818384097889 0.965386438881978
GSET-2 rs508 0.989976514130831 0.971278544282541
GSET-2 rs588 0.131239166948944 0.0912390204612166
GSET-2 rs590 0.918087723432109 0.719956364948303
