REGION	MARKER	ANNO1	ANNO2
Region_1	SNP_1	0	0.393301993841305
Region_1	SNP_2	0	0.823839062359184
Region_1	SNP_3	1	0.785924148745835
Region_1	SNP_4	0	0.0368328264448792
Region_1	SNP_5	0	0.909514537081122
Region_1	SNP_6	1	0.0965369469486177
Region_1	SNP_7	0	0.592540903715417
Region_1	SNP_8	1	0.553462892770767
Region_1	SNP_9	1	0.247939079301432
Region_1	SNP_10	1	0.159802047070116
Region_1	SNP_11	0	0.47027512663044
Region_1	SNP_12	1	0.471949433209375
Region_1	SNP_13	0	0.980600944021717
Region_1	SNP_14	0	0.258477500174195
Region_1	SNP_15	1	0.414537647971883
Region_1	SNP_16	1	0.63306657364592
Region_1	SNP_17	1	0.865146290278062
Region_1	SNP_18	0	0.515039696590975
Region_1	SNP_19	1	0.322285358095542
Region_1	SNP_20	0	0.544192089000717
Region_1	SNP_21	1	0.976073305588216
Region_1	SNP_22	0	0.156495825853199
Region_1	SNP_23	1	0.487315529026091
Region_1	SNP_24	1	0.84217377495952
Region_1	SNP_25	0	0.59424398560077
Region_1	SNP_26	0	0.0430761689785868
Region_1	SNP_27	1	0.968953565694392
Region_1	SNP_28	0	0.85525226732716
Region_1	SNP_29	1	0.476973163429648
Region_1	SNP_30	0	0.00418361113406718
Region_1	SNP_31	1	0.166703781113029
Region_1	SNP_32	0	0.947295548859984
Region_1	SNP_33	0	0.172954639187083
Region_1	SNP_34	0	0.0762413085903972
Region_1	SNP_35	0	0.897661242401227
Region_1	SNP_36	0	0.598153960192576
Region_1	SNP_37	1	0.199980207020417
Region_1	SNP_38	1	0.929434802848846
Region_1	SNP_39	1	0.644080683821812
Region_1	SNP_40	0	0.919333847705275
Region_1	SNP_41	1	0.700234986841679
Region_1	SNP_42	1	0.247989095980301
Region_1	SNP_43	0	0.093471463304013
Region_1	SNP_44	0	0.713615820277482
Region_1	SNP_45	1	0.468495024600998
Region_1	SNP_46	0	0.634442856302485
Region_1	SNP_47	1	0.955573488492519
Region_1	SNP_48	1	0.545643145684153
Region_1	SNP_49	1	0.626599872950464
Region_1	SNP_50	1	0.436438439413905
Region_1	SNP_51	1	0.924377790419385
Region_1	SNP_52	1	0.555265853879973
Region_1	SNP_53	1	0.709947085008025
Region_1	SNP_54	1	0.400540564674884
Region_1	SNP_55	0	0.742997332476079
Region_1	SNP_56	0	0.268191859126091
Region_1	SNP_57	1	0.48362055956386
Region_1	SNP_58	0	0.528213605750352
Region_1	SNP_59	1	0.469981975620613
Region_1	SNP_60	0	0.375582720153034
Region_1	SNP_61	0	0.43831495847553
Region_1	SNP_62	1	0.403403897304088
Region_1	SNP_63	1	0.0940028643235564
Region_1	SNP_64	0	0.914833132177591
Region_1	SNP_65	0	0.263160412665457
Region_1	SNP_66	0	0.0370915015228093
Region_1	SNP_67	0	0.347260372713208
Region_1	SNP_68	0	0.376005329191685
Region_1	SNP_69	1	0.608623861335218
Region_1	SNP_70	0	0.487077920231968
Region_1	SNP_71	0	0.172006355598569
Region_1	SNP_72	0	0.28663337463513
Region_1	SNP_73	1	0.0827155509032309
Region_1	SNP_74	0	0.807352433213964
Region_1	SNP_75	1	0.93206728156656
Region_1	SNP_76	1	0.567993617383763
Region_1	SNP_77	1	0.891627213684842
Region_1	SNP_78	0	0.407342225313187
Region_1	SNP_79	0	0.390062108403072
Region_1	SNP_80	0	0.873301240149885
Region_1	SNP_81	0	0.0696589546278119
Region_1	SNP_82	1	0.133241829462349
Region_1	SNP_83	0	0.649074888322502
Region_1	SNP_84	0	0.956461841473356
Region_1	SNP_85	1	0.89788285875693
Region_1	SNP_86	0	0.672360084950924
Region_1	SNP_87	1	0.131358405109495
Region_1	SNP_88	1	0.459538001101464
Region_1	SNP_89	0	0.200804016785696
Region_1	SNP_90	0	0.977443596115336
Region_1	SNP_91	1	0.399797701509669
Region_1	SNP_92	0	0.678429678315297
Region_1	SNP_93	0	0.00214966689236462
Region_1	SNP_94	0	0.784016070887446
Region_1	SNP_95	0	0.110918735852465
Region_1	SNP_96	1	0.812180180801079
Region_1	SNP_97	0	0.737465646117926
Region_1	SNP_98	1	0.61513384222053
Region_1	SNP_99	1	0.0716361242812127
Region_1	SNP_100	1	0.348692191997543
Region_2	SNP_101	1	0.747431816766039
Region_2	SNP_102	1	0.140627048676834
Region_2	SNP_103	1	0.771029982017353
Region_2	SNP_104	0	0.077520395629108
Region_2	SNP_105	0	0.849172380752861
Region_2	SNP_106	0	0.744518724735826
Region_2	SNP_107	1	0.971239187289029
Region_2	SNP_108	0	0.212458394467831
Region_2	SNP_109	1	0.458696985384449
Region_2	SNP_110	0	0.870485629886389
Region_2	SNP_111	1	0.985818831017241
Region_2	SNP_112	1	0.946440557250753
Region_2	SNP_113	0	0.0392709739971906
Region_2	SNP_114	1	0.889709877548739
Region_2	SNP_115	1	0.122891860781237
Region_2	SNP_116	0	0.823148463619873
Region_2	SNP_117	0	0.885907023679465
Region_2	SNP_118	1	0.994258699938655
Region_2	SNP_119	1	0.349348988151178
Region_2	SNP_120	1	0.168079392286018
Region_2	SNP_121	1	0.495382931083441
Region_2	SNP_122	1	0.51675796834752
Region_2	SNP_123	0	0.49153604824096
Region_2	SNP_124	0	0.404565093573183
Region_2	SNP_125	1	0.676007320638746
Region_2	SNP_126	0	0.617351505206898
Region_2	SNP_127	0	0.90835117851384
Region_2	SNP_128	1	0.572633046424016
Region_2	SNP_129	1	0.994941999902949
Region_2	SNP_130	1	0.92911080387421
Region_2	SNP_131	0	0.157920375233516
Region_2	SNP_132	0	0.248200805392116
Region_2	SNP_133	1	0.617929008090869
Region_2	SNP_134	0	0.10045169852674
Region_2	SNP_135	1	0.00684651639312506
Region_2	SNP_136	1	0.0115744834765792
Region_2	SNP_137	1	0.754612979479134
Region_2	SNP_138	0	0.998078803764656
Region_2	SNP_139	0	0.953043061541393
Region_2	SNP_140	0	0.130411382298917
Region_2	SNP_141	1	0.856431916356087
Region_2	SNP_142	1	0.381649369141087
Region_2	SNP_143	1	0.158446731045842
Region_2	SNP_144	1	0.862193793524057
Region_2	SNP_145	0	0.590424823109061
Region_2	SNP_146	1	0.333739456254989
Region_2	SNP_147	1	0.64951776037924
Region_2	SNP_148	1	0.945341689279303
Region_2	SNP_149	1	0.737691483926028
Region_2	SNP_150	1	0.0333614065311849
Region_2	SNP_151	0	0.441007298184559
Region_2	SNP_152	1	0.0938434831332415
Region_2	SNP_153	0	0.725298109697178
Region_2	SNP_154	0	0.186338836560026
Region_2	SNP_155	0	0.0545003160368651
Region_2	SNP_156	1	0.0161123084835708
Region_2	SNP_157	1	0.215263749705628
Region_2	SNP_158	1	0.16528690722771
Region_2	SNP_159	0	0.289348745020106
Region_2	SNP_160	0	0.970843037357554
Region_2	SNP_161	1	0.454166177194566
Region_2	SNP_162	1	0.186999028781429
Region_2	SNP_163	0	0.0270172918681055
Region_2	SNP_164	0	0.30793919484131
Region_2	SNP_165	0	0.0698539707809687
Region_2	SNP_166	0	0.586858070921153
Region_2	SNP_167	0	0.216440928634256
Region_2	SNP_168	1	0.430785754229873
Region_2	SNP_169	0	0.497486089821905
Region_2	SNP_170	0	0.0944148199632764
Region_2	SNP_171	0	0.684652343392372
Region_2	SNP_172	0	0.414849953958765
Region_2	SNP_173	0	0.550774916540831
Region_2	SNP_174	1	0.855205032043159
Region_2	SNP_175	1	0.663769363658503
Region_2	SNP_176	1	0.0925230018328875
Region_2	SNP_177	1	0.52634415589273
Region_2	SNP_178	1	0.833264171145856
Region_2	SNP_179	0	0.0684853899292648
Region_2	SNP_180	1	0.706306363223121
Region_2	SNP_181	0	0.15918271895498
Region_2	SNP_182	0	0.539411812555045
Region_2	SNP_183	1	0.0137381996028125
Region_2	SNP_184	0	0.210493410704657
Region_2	SNP_185	1	0.280578413745388
Region_2	SNP_186	1	0.472624049987644
Region_2	SNP_187	1	0.900062336120754
Region_2	SNP_188	1	0.637355191633105
Region_2	SNP_189	0	0.616955516161397
Region_2	SNP_190	0	0.497542114462703
Region_2	SNP_191	0	0.0851334938779473
Region_2	SNP_192	0	0.666848235065117
Region_2	SNP_193	1	0.800355770858005
Region_2	SNP_194	0	0.660434567835182
Region_2	SNP_195	0	0.831040187506005
Region_2	SNP_196	0	0.439072952838615
Region_2	SNP_197	0	0.896829105447978
Region_2	SNP_198	1	0.177012640517205
Region_2	SNP_199	1	0.427061589201912
Region_2	SNP_200	1	0.449917705729604
Region_3	SNP_201	0	0.318338698009029
Region_3	SNP_202	0	0.0469378512352705
Region_3	SNP_203	0	0.257455329410732
Region_3	SNP_204	1	0.834661663975567
Region_3	SNP_205	1	0.629489191574976
Region_3	SNP_206	1	0.583092227345333
Region_3	SNP_207	0	0.24274348304607
Region_3	SNP_208	1	0.828273352468386
Region_3	SNP_209	1	0.238059420604259
Region_3	SNP_210	0	0.430711287539452
Region_3	SNP_211	0	0.868148402776569
Region_3	SNP_212	0	0.936152251670137
Region_3	SNP_213	1	0.637151830131188
Region_3	SNP_214	0	0.35234710550867
Region_3	SNP_215	1	0.304218296892941
Region_3	SNP_216	1	0.519482780480757
Region_3	SNP_217	0	0.866393020609394
Region_3	SNP_218	0	0.389353610342368
Region_3	SNP_219	0	0.598980963695794
Region_3	SNP_220	0	0.460595108801499
Region_3	SNP_221	0	0.936082974076271
Region_3	SNP_222	1	0.76228703558445
Region_3	SNP_223	1	0.180856104008853
Region_3	SNP_224	0	0.932244665455073
Region_3	SNP_225	0	0.772069647908211
Region_3	SNP_226	0	0.319618720561266
Region_3	SNP_227	0	0.23276426596567
Region_3	SNP_228	1	0.0106659543234855
Region_3	SNP_229	0	0.42293062293902
Region_3	SNP_230	1	0.386317094089463
Region_3	SNP_231	1	0.555198417976499
Region_3	SNP_232	0	0.77304700599052
Region_3	SNP_233	0	0.667287751100957
Region_3	SNP_234	1	0.471420170040801
Region_3	SNP_235	0	0.749387055169791
Region_3	SNP_236	1	0.416967863216996
Region_3	SNP_237	1	0.466240373440087
Region_3	SNP_238	1	0.162908270023763
Region_3	SNP_239	1	0.171354232588783
Region_3	SNP_240	1	0.722223540302366
Region_3	SNP_241	0	0.527822927106172
Region_3	SNP_242	0	0.49612024682574
Region_3	SNP_243	0	0.56976389978081
Region_3	SNP_244	1	0.257819799473509
Region_3	SNP_245	0	0.721163043985143
Region_3	SNP_246	0	0.217357937945053
Region_3	SNP_247	0	0.948228120338172
Region_3	SNP_248	1	0.584399361629039
Region_3	SNP_249	0	0.815591047052294
Region_3	SNP_250	0	0.777191196801141
Region_3	SNP_251	0	0.965636399341747
Region_3	SNP_252	0	0.863021108554676
Region_3	SNP_253	0	0.881572758080438
Region_3	SNP_254	0	0.139872223837301
Region_3	SNP_255	1	0.0709397059399635
Region_3	SNP_256	1	0.489409514004365
Region_3	SNP_257	0	0.590956285595894
Region_3	SNP_258	0	0.49977401457727
Region_3	SNP_259	0	0.342692465754226
Region_3	SNP_260	0	0.706291006179526
Region_3	SNP_261	1	0.542546387063339
Region_3	SNP_262	0	0.181891613872722
Region_3	SNP_263	1	0.938356064958498
Region_3	SNP_264	0	0.587577145779505
Region_3	SNP_265	1	0.75322806625627
Region_3	SNP_266	1	0.0352211759891361
Region_3	SNP_267	0	0.506602839566767
Region_3	SNP_268	1	0.187248825561255
Region_3	SNP_269	1	0.54206459550187
Region_3	SNP_270	1	0.299654641188681
Region_3	SNP_271	0	0.805764746852219
Region_3	SNP_272	0	0.622871287865564
Region_3	SNP_273	0	0.57363279373385
Region_3	SNP_274	1	0.157367713516578
Region_3	SNP_275	0	0.633702272782102
Region_3	SNP_276	1	0.736839255318046
Region_3	SNP_277	0	0.279110881267115
Region_3	SNP_278	0	0.264715892961249
Region_3	SNP_279	0	0.0357436852063984
Region_3	SNP_280	1	0.869203558424488
Region_3	SNP_281	0	0.365199874155223
Region_3	SNP_282	0	0.62754724919796
Region_3	SNP_283	1	0.745993325253949
Region_3	SNP_284	1	0.671926435548812
Region_3	SNP_285	1	0.18192484555766
Region_3	SNP_286	1	0.268606344237924
Region_3	SNP_287	1	0.0305721743497998
Region_3	SNP_288	1	0.669036441249773
Region_3	SNP_289	1	0.471792293945327
Region_3	SNP_290	1	0.445122077828273
Region_3	SNP_291	1	0.984786760061979
Region_3	SNP_292	0	0.426946005551144
Region_3	SNP_293	1	0.0434062730055302
Region_3	SNP_294	1	0.780600685160607
Region_3	SNP_295	1	0.412906477693468
Region_3	SNP_296	1	0.827309176791459
Region_3	SNP_297	0	0.821831136709079
Region_3	SNP_298	0	0.79752717888914
Region_3	SNP_299	0	0.0533087917137891
Region_3	SNP_300	1	0.100454660365358
Region_4	SNP_301	1	0.761498898733407
Region_4	SNP_302	1	0.433499828912318
Region_4	SNP_303	0	0.0335239297710359
Region_4	SNP_304	0	0.511158936657012
Region_4	SNP_305	0	0.313360861269757
Region_4	SNP_306	0	0.59352033236064
Region_4	SNP_307	0	0.249809652101249
Region_4	SNP_308	0	0.886772365542129
Region_4	SNP_309	0	0.173856991808861
Region_4	SNP_310	1	0.673720351187512
Region_4	SNP_311	0	0.228043095441535
Region_4	SNP_312	0	0.555340598104522
Region_4	SNP_313	1	0.117701214272529
Region_4	SNP_314	1	0.282580591738224
Region_4	SNP_315	0	0.345477689756081
Region_4	SNP_316	1	0.109801644692197
Region_4	SNP_317	0	0.881766674341634
Region_4	SNP_318	0	0.895642104092985
Region_4	SNP_319	1	0.936154144350439
Region_4	SNP_320	1	0.709911738522351
Region_4	SNP_321	1	0.963968243682757
Region_4	SNP_322	1	0.550298157846555
Region_4	SNP_323	1	0.960528532508761
Region_4	SNP_324	1	0.343140761833638
Region_4	SNP_325	0	0.343569985823706
Region_4	SNP_326	1	0.458948287414387
Region_4	SNP_327	1	0.779582646442577
Region_4	SNP_328	0	0.536752186017111
Region_4	SNP_329	1	0.0267459866590798
Region_4	SNP_330	0	0.610993668204173
Region_4	SNP_331	0	0.723221724620089
Region_4	SNP_332	0	0.647035341244191
Region_4	SNP_333	1	0.333184950985014
Region_4	SNP_334	1	0.367537482408807
Region_4	SNP_335	0	0.312511628028005
Region_4	SNP_336	1	0.940628294833004
Region_4	SNP_337	1	0.918651759857312
Region_4	SNP_338	1	0.70211445982568
Region_4	SNP_339	1	0.301534719299525
Region_4	SNP_340	0	0.227217621868476
Region_4	SNP_341	1	0.31040675775148
Region_4	SNP_342	1	0.694726803340018
Region_4	SNP_343	1	0.0649915996473283
Region_4	SNP_344	1	0.892069797031581
Region_4	SNP_345	0	0.193458784371614
Region_4	SNP_346	1	0.608039039187133
Region_4	SNP_347	0	0.116938867606223
Region_4	SNP_348	0	0.224491768050939
Region_4	SNP_349	1	0.320125153055415
Region_4	SNP_350	1	0.427100441185758
Region_4	SNP_351	1	0.694677968742326
Region_4	SNP_352	1	0.510160878533497
Region_4	SNP_353	0	0.558539498131722
Region_4	SNP_354	1	0.639557545538992
Region_4	SNP_355	0	0.665582169778645
Region_4	SNP_356	0	0.465584001969546
Region_4	SNP_357	1	0.888346600579098
Region_4	SNP_358	0	0.20186113123782
Region_4	SNP_359	0	0.952138164779171
Region_4	SNP_360	1	0.563429223373532
Region_4	SNP_361	0	0.784432388842106
Region_4	SNP_362	1	0.243860271759331
Region_4	SNP_363	0	0.414032937493175
Region_4	SNP_364	0	0.514215502887964
Region_4	SNP_365	1	0.48212162964046
Region_4	SNP_366	1	0.496061075944453
Region_4	SNP_367	0	0.849005432333797
Region_4	SNP_368	0	0.0340222958475351
Region_4	SNP_369	0	0.124114600708708
Region_4	SNP_370	0	0.686116706114262
Region_4	SNP_371	1	0.208693661494181
